,annotators,total1,total2,match2,agreed_overlap,disagreed_overlap,only_anno1,only_anno2,pmcid
146,"B,C",701,701,700,0,1,0,0,PMC4494930
147,"A,B",617,606,508,7,1,13,1,PMC5298922
148,"A,C",617,607,510,9,0,10,1,PMC5298922
149,"B,C",606,607,512,4,1,0,3,PMC5298922
150,"A,B",295,294,288,5,0,2,1,PMC5510223
151,"A,C",295,294,289,5,0,1,0,PMC5510223
152,"B,C",294,294,293,0,0,1,1,PMC5510223
153,"A,B",358,363,346,6,1,6,10,PMC3231843
154,"A,C",358,366,346,8,1,5,10,PMC3231843
155,"B,C",363,366,359,4,0,1,2,PMC3231843
156,"A,B",0,0,0,0,0,0,0,PMC2761781
157,"A,C",0,0,0,0,0,0,0,PMC2761781
158,"B,C",0,0,0,0,0,0,0,PMC2761781
159,"A,B",684,685,683,0,2,0,0,PMC4589515
160,"A,C",684,684,684,0,0,0,0,PMC4589515
161,"B,C",685,684,683,0,2,0,0,PMC4589515
162,"A,B",377,377,377,0,0,0,0,PMC3751959
163,"A,C",377,377,377,0,0,0,0,PMC3751959
164,"B,C",377,377,377,0,0,0,0,PMC3751959
165,"A,B",232,232,230,2,0,0,0,PMC3972685
166,"A,C",232,232,230,2,0,0,0,PMC3972685
167,"B,C",232,232,232,0,0,0,0,PMC3972685
168,"A,B",276,277,274,1,0,1,2,PMC3365900
169,"A,C",276,278,276,0,0,0,2,PMC3365900
170,"B,C",277,278,276,1,0,0,1,PMC3365900
171,"A,B",25,25,25,0,0,0,0,PMC5260044
172,"A,C",25,25,25,0,0,0,0,PMC5260044
173,"B,C",25,25,25,0,0,0,0,PMC5260044
174,"A,B",600,602,599,2,0,0,1,PMC3097211
175,"A,C",600,602,599,2,0,0,1,PMC3097211
176,"B,C",602,602,602,0,0,0,0,PMC3097211
177,"A,B",461,461,461,0,0,0,0,PMC3281816
178,"A,C",461,461,461,0,0,0,0,PMC3281816
179,"B,C",461,461,461,0,0,0,0,PMC3281816
180,"A,B",356,355,354,1,0,1,0,PMC4313693
181,"A,C",356,355,354,1,0,1,0,PMC4313693
182,"B,C",355,355,355,0,0,0,0,PMC4313693
183,"A,B",226,226,183,0,0,0,0,PMC5979449
184,"A,C",226,236,183,0,0,0,10,PMC5979449
185,"B,C",226,236,183,0,0,0,10,PMC5979449
186,"A,B",187,185,179,1,0,7,5,PMC2233677
187,"A,C",187,185,179,1,0,7,5,PMC2233677
188,"B,C",185,185,184,0,0,1,1,PMC2233677
189,"A,B",159,159,159,0,0,0,0,PMC3895799
190,"A,C",159,159,159,0,0,0,0,PMC3895799
191,"B,C",159,159,159,0,0,0,0,PMC3895799
192,"A,B",382,409,382,0,0,0,27,PMC2443369
193,"A,C",382,409,382,0,0,0,27,PMC2443369
194,"B,C",409,409,409,0,0,0,0,PMC2443369
195,"A,B",66,64,58,0,0,1,0,PMC4743178
196,"A,C",66,64,58,0,0,1,0,PMC4743178
197,"B,C",64,64,58,0,0,0,0,PMC4743178
198,"A,B",446,450,446,0,0,0,4,PMC5344356
199,"A,C",446,449,445,0,0,1,4,PMC5344356
200,"B,C",450,449,449,0,0,1,0,PMC5344356
201,"A,B",1,1,1,0,0,0,0,PMC3304128
202,"A,C",1,1,1,0,0,0,0,PMC3304128
203,"B,C",1,1,1,0,0,0,0,PMC3304128
204,"A,B",152,152,151,1,0,0,0,PMC5468280
205,"A,C",152,152,151,1,0,0,0,PMC5468280
206,"B,C",152,152,152,0,0,0,0,PMC5468280
207,"A,B",98,98,98,0,0,0,0,PMC4128218
208,"A,C",98,98,98,0,0,0,0,PMC4128218
209,"B,C",98,98,98,0,0,0,0,PMC4128218
210,"A,B",268,269,246,0,0,0,1,PMC4753424
211,"A,C",268,269,246,0,0,0,1,PMC4753424
212,"B,C",269,269,247,0,0,0,0,PMC4753424
213,"A,B",9,9,9,0,0,0,0,PMC5317055
214,"A,C",9,9,9,0,0,0,0,PMC5317055
215,"B,C",9,9,9,0,0,0,0,PMC5317055
216,"A,B",268,268,268,0,0,0,0,PMC3119053
217,"A,C",268,268,268,0,0,0,0,PMC3119053
218,"B,C",268,268,268,0,0,0,0,PMC3119053
219,"A,B",100,100,100,0,0,0,0,PMC2936521
220,"A,C",100,100,100,0,0,0,0,PMC2936521
221,"B,C",100,100,100,0,0,0,0,PMC2936521
222,"A,B",461,461,459,2,0,0,0,PMC5785827
223,"A,C",461,460,460,0,0,1,0,PMC5785827
224,"B,C",461,460,458,2,0,1,0,PMC5785827
225,"A,B",253,253,253,0,0,0,0,PMC3502096
226,"A,C",253,253,253,0,0,0,0,PMC3502096
227,"B,C",253,253,253,0,0,0,0,PMC3502096
228,"A,B",121,113,113,0,0,8,0,PMC5307887
229,"A,C",121,113,113,0,0,8,0,PMC5307887
230,"B,C",113,113,113,0,0,0,0,PMC5307887
231,"A,B",343,343,343,0,0,0,0,PMC3692464
232,"A,C",343,343,343,0,0,0,0,PMC3692464
233,"B,C",343,343,343,0,0,0,0,PMC3692464
234,"A,B",262,262,262,0,0,0,0,PMC5703515
235,"A,C",262,277,262,0,0,0,15,PMC5703515
236,"B,C",262,277,262,0,0,0,15,PMC5703515
237,"A,B",0,0,0,0,0,0,0,PMC5462825
238,"A,C",0,0,0,0,0,0,0,PMC5462825
239,"B,C",0,0,0,0,0,0,0,PMC5462825
240,"A,B",464,464,464,0,0,0,0,PMC5706499
241,"A,C",464,464,464,0,0,0,0,PMC5706499
242,"B,C",464,464,464,0,0,0,0,PMC5706499
243,"A,B",204,204,197,0,0,0,0,PMC5006041
244,"A,C",204,204,197,0,0,0,0,PMC5006041
245,"B,C",204,204,197,0,0,0,0,PMC5006041
246,"A,B",887,887,887,0,0,0,0,PMC4944956
247,"A,C",887,885,885,0,0,2,0,PMC4944956
248,"B,C",887,885,885,0,0,2,0,PMC4944956
249,"A,B",120,122,120,0,0,0,2,PMC5962829
250,"A,C",120,123,120,0,0,0,3,PMC5962829
251,"B,C",122,123,120,0,0,2,3,PMC5962829
252,"A,B",161,161,161,0,0,0,0,PMC4489904
253,"A,C",161,161,161,0,0,0,0,PMC4489904
254,"B,C",161,161,161,0,0,0,0,PMC4489904
255,"A,B",359,359,359,0,0,0,0,PMC4780767
256,"A,C",359,358,358,0,0,1,0,PMC4780767
257,"B,C",359,358,358,0,0,1,0,PMC4780767
258,"A,B",441,441,438,1,0,0,0,PMC3829848
259,"A,C",441,441,438,1,0,0,0,PMC3829848
260,"B,C",441,441,439,0,0,0,0,PMC3829848
261,"A,B",229,230,210,0,0,0,1,PMC4417603
262,"A,C",229,230,210,0,0,0,1,PMC4417603
263,"B,C",230,230,211,0,0,0,0,PMC4417603
264,"A,B",670,670,665,5,0,0,0,PMC1971115
265,"A,C",670,674,661,9,4,0,0,PMC1971115
266,"B,C",670,674,666,4,4,0,0,PMC1971115
267,"A,B",374,375,335,0,0,0,1,PMC4792959
268,"A,C",374,375,335,0,0,0,0,PMC4792959
269,"B,C",375,375,335,0,0,1,0,PMC4792959
270,"A,B",212,212,212,0,0,0,0,PMC5666160
271,"A,C",212,212,212,0,0,0,0,PMC5666160
272,"B,C",212,212,212,0,0,0,0,PMC5666160
273,"A,B",40,40,40,0,0,0,0,PMC3648400
274,"A,C",40,40,39,1,0,0,0,PMC3648400
275,"B,C",40,40,39,1,0,0,0,PMC3648400
276,"A,B",9,9,9,0,0,0,0,PMC3189878
277,"A,C",9,9,9,0,0,0,0,PMC3189878
278,"B,C",9,9,9,0,0,0,0,PMC3189878
279,"A,B",373,373,369,1,0,3,3,PMC2904378
280,"A,C",373,376,372,0,1,0,3,PMC2904378
281,"B,C",373,376,371,1,1,0,3,PMC2904378
282,"A,B",283,283,283,0,0,0,0,PMC4156656
283,"A,C",283,278,278,0,0,5,0,PMC4156656
284,"B,C",283,278,278,0,0,5,0,PMC4156656
285,"A,B",251,251,251,0,0,0,0,PMC4766309
286,"A,C",251,184,184,0,0,67,0,PMC4766309
287,"B,C",251,184,184,0,0,67,0,PMC4766309
288,"A,B",168,168,167,1,0,0,0,PMC5486778
289,"A,C",168,168,167,1,0,0,0,PMC5486778
290,"B,C",168,168,168,0,0,0,0,PMC5486778
291,"A,B",462,460,458,2,0,2,0,PMC2987983
292,"A,C",462,461,460,1,0,1,0,PMC2987983
293,"B,C",460,461,459,1,0,0,1,PMC2987983
